id,gender,age,company_name,intern_role,internship_duration,academic_gpa,number_of_internships_completed,number_of_certification,intern_technical_skills,programming_level,technical_skills_required,technical_interview_score,education,department,internship_success
26b69c03-6340-473f-b784-5d8de5e4faa4,female,22,CLIMDES,Machine Learning,12,2.46,1,1,"['PowerPoint', 'Excel', 'Pandas']",Beginner,"['Python', 'SQL', 'Machine Learning']",165,student,Computer Science,False
67f8d1d5-877d-4d45-ac65-9ddfcf6539f8,female,25,CLIMDES,Backend,6,2.51,0,2,"['C', 'Java', 'C++']",Intermediate,"['Python', 'Java', 'SQL']",175,graduate,Engineering,False
8afb2e1c-777f-4500-91f6-e4099b57dc82,male,22,CLIMDES,Backend,6,2.11,1,2,"['C', 'SQL', 'Java']",Intermediate,"['Python', 'Java', 'SQL']",193,student,Engineering,False
22380422-6b67-4f80-86ac-497430d75fb3,female,24,CLIMDES,Frontend,12,3.5,4,5,"['JavaScript', 'CSS', 'HTML']",Intermediate,"['HTML', 'CSS', 'JavaScript']",242,student,Engineering,True
713bbbe2-be44-4566-aec2-d5a228e72c23,female,22,CLIMDES,Backend,12,2.87,0,0,"['CSS', 'SQL', 'C++']",Beginner,"['Python', 'Java', 'SQL']",188,student,Engineering,False
df3d557d-deac-4b46-b9c0-3f5f5620b37d,female,25,CLIMDES,Machine Learning,3,2.27,0,0,"['Pandas', 'SQL', 'HTML']",Beginner,"['Python', 'SQL', 'Machine Learning']",182,graduate,Engineering,False
7020e266-4369-40d3-90ed-717780639c64,male,24,CLIMDES,Machine Learning,3,3.62,3,3,"['HTML', 'SQL', 'CSS']",Intermediate,"['Python', 'SQL', 'Machine Learning']",249,student,Statistics,True
a121c528-67f0-47b5-9e5b-308e37108d53,female,24,CLIMDES,Machine Learning,6,3.79,2,9,"['Python', 'HTML', 'CSS']",Intermediate,"['Python', 'SQL', 'Machine Learning']",236,student,Statistics,True
f3b30621-9823-40b1-817f-4463b71e9112,female,25,CLIMDES,Backend,12,3.74,3,10,"['Java', 'SQL', 'C++']",Intermediate,"['Python', 'Java', 'SQL']",246,graduate,Computer Science,True
9619f02e-2871-4a1e-b46d-39e9e35a116a,female,22,CLIMDES,Frontend,3,3.65,2,6,"['HTML', 'SQL', 'Python']",Intermediate,"['HTML', 'CSS', 'JavaScript']",247,student,Mathematics,True
